uuid,timestamp,event,temperature
1001,2021-11-19 11:16:08,Load Cargo,
1001,2021-11-19 13:16:08,Measure temperature,19.0
1001,2021-11-19 15:16:08,Measure temperature,29.0
1001,2021-11-19 17:16:08,Measure temperature,24.0
1001,2021-11-19 19:16:08,Measure temperature,28.0
1001,2021-11-19 21:16:08,Measure temperature,12.0
1001,2021-11-19 23:16:08,Measure temperature,22.0
1001,2021-11-20 01:16:08,Measure temperature,12.0
1001,2021-11-20 03:16:08,Measure temperature,29.0
1001,2021-11-20 05:16:08,Measure temperature,17.0
1001,2021-11-20 07:16:08,Measure temperature,16.0
1001,2021-11-20 09:16:08,Measure temperature,22.0
1001,2021-11-20 11:16:08,Measure temperature,24.0
1001,2021-11-20 13:16:08,Measure temperature,26.0
1001,2021-11-20 15:16:08,Measure temperature,21.0
1001,2021-11-20 17:16:08,Measure temperature,30.0
1001,2021-11-20 19:16:08,Discard Goods,
1002,2021-11-08 14:45:30,Load Cargo,
1002,2021-11-08 16:45:30,Measure temperature,27.0
1002,2021-11-08 18:45:30,Measure temperature,16.0
1002,2021-11-08 20:45:30,Measure temperature,14.0
1002,2021-11-08 22:45:30,Measure temperature,23.0
1002,2021-11-09 00:45:30,Measure temperature,19.0
1002,2021-11-09 02:45:30,Measure temperature,17.0
1002,2021-11-09 04:45:30,Measure temperature,20.0
1002,2021-11-09 06:45:30,Measure temperature,22.0
1002,2021-11-09 08:45:30,Measure temperature,20.0
1002,2021-11-09 10:45:30,Measure temperature,30.0
1002,2021-11-09 12:45:30,Measure temperature,29.0
1002,2021-11-09 14:45:30,Measure temperature,12.0
1002,2021-11-09 16:45:30,Measure temperature,25.0
1002,2021-11-09 18:45:30,Measure temperature,19.0
1002,2021-11-09 20:45:30,Measure temperature,24.0
1002,2021-11-09 22:45:30,Transfer Goods,
1003,2021-11-11 09:02:34,Load Cargo,
1003,2021-11-11 11:02:34,Measure temperature,16.0
1003,2021-11-11 13:02:34,Measure temperature,21.0
1003,2021-11-11 15:02:34,Measure temperature,14.0
1003,2021-11-11 17:02:34,Measure temperature,11.0
1003,2021-11-11 19:02:34,Measure temperature,21.0
1003,2021-11-11 21:02:34,Measure temperature,14.0
1003,2021-11-11 23:02:34,Measure temperature,28.0
1003,2021-11-12 01:02:34,Measure temperature,25.0
1003,2021-11-12 03:02:34,Measure temperature,24.0
1003,2021-11-12 05:02:34,Measure temperature,24.0
1003,2021-11-12 07:02:34,Measure temperature,23.0
1003,2021-11-12 09:02:34,Measure temperature,21.0
1003,2021-11-12 11:02:34,Measure temperature,26.0
1003,2021-11-12 13:02:34,Measure temperature,21.0
1003,2021-11-12 15:02:34,Measure temperature,22.0
1003,2021-11-12 17:02:34,Transfer Goods,
1004,2021-11-08 09:55:00,Load Cargo,
1004,2021-11-08 11:55:00,Measure temperature,12.0
1004,2021-11-08 13:55:00,Measure temperature,24.0
1004,2021-11-08 15:55:00,Measure temperature,21.0
1004,2021-11-08 17:55:00,Measure temperature,18.0
1004,2021-11-08 19:55:00,Measure temperature,28.0
1004,2021-11-08 21:55:00,Measure temperature,21.0
1004,2021-11-08 23:55:00,Measure temperature,21.0
1004,2021-11-09 01:55:00,Measure temperature,29.0
1004,2021-11-09 03:55:00,Measure temperature,19.0
1004,2021-11-09 05:55:00,Measure temperature,16.0
1004,2021-11-09 07:55:00,Measure temperature,24.0
